id,value,feed_id,created_at,lat,lon,ele
0EADW5SEP8A8HGKR3WX062KQY2,"44.3,33.0,36.7,34.1,32.9,33.7,97.4,,48.1,,35.6, , 35.9,66.1,995.0,501.3,140.9",1235641,2019-12-01 02:14:01 UTC,,,
0EADW5Y13BF17Z1Q71A8K692AR,"44.7,33.0,36.8,34.1,32.9,33.7,97.6,,48.8,,35.5, , 35.9,66.2,995.0,500.7,140.7",1235641,2019-12-01 02:14:16 UTC,,,
0EADW62KNVR8DR209STK1P36B2,"45.0,33.1,36.9,34.2,32.9,33.8,98.1,,49.1,,35.4, , 35.9,66.3,995.0,501.3,140.6",1235641,2019-12-01 02:14:31 UTC,,,
0EADW676A3MVFNYYYD9986CV8K,"45.1,33.1,37.0,34.3,32.9,33.8,98.4,,49.4,,35.5, , 36.0,66.4,995.0,500.5,140.2",1235641,2019-12-01 02:14:46 UTC,,,
0EADW6BRWB09W7M5GC4ZABSTWS,"45.2,33.2,37.0,34.3,33.0,33.8,98.6,,50.1,,35.9, , 36.0,66.5,995.0,500.5,140.4",1235641,2019-12-01 02:15:01 UTC,,,
0EADW6GB23Z0HBS0QH4W3EN5BQ,"45.6,33.2,37.1,34.4,33.0,33.8,98.9,,50.5,,35.9, , 36.0,66.7,995.0,500.5,140.1",1235641,2019-12-01 02:15:16 UTC,,,
0EADW6MXKXTRQRQD9XSRAWWY58,"45.7,33.5,37.3,34.6,33.0,33.8,99.2,,50.6,,35.7, , 36.0,66.8,995.0,499.9,139.8",1235641,2019-12-01 02:15:31 UTC,,,
0EADW6SG143KAM2QJW3H59N1FX,"45.9,33.5,37.4,34.6,33.0,33.8,99.5,,50.6,,35.7, , 36.1,66.9,995.0,500.7,140.1",1235641,2019-12-01 02:15:46 UTC,,,
0EADW6Y2WMDZMVB86988CEVV0K,"46.0,33.5,37.5,34.7,33.0,33.9,99.5,,50.7,,35.8, , 36.1,67.0,995.0,500.5,139.4",1235641,2019-12-01 02:16:01 UTC,,,
0EADW72NFBNGGD4YBYQNG40MNE,"46.0,33.6,37.6,34.7,33.0,33.9,99.8,,51.1,,35.8, , 36.1,67.1,995.0,500.5,139.4",1235641,2019-12-01 02:16:16 UTC,,,
0EADW777J1WA12TJQSBPNDQ460,"46.3,33.7,37.7,34.8,33.0,34.0,100.0,,51.4,,35.9, , 36.1,67.2,995.0,500.5,139.2",1235641,2019-12-01 02:16:31 UTC,,,
0EADW7BT1QV59PD402KHCB6NN9,"46.4,33.7,37.8,34.8,33.0,34.0,100.2,,51.8,,35.8, , 36.2,67.3,995.0,500.5,139.7",1235641,2019-12-01 02:16:46 UTC,,,
